Population,Individual_ID,morph,col,nbands,fusion
2,1,Y(12)3(45),yellow,5,TRUE
2,2,Y12345,yellow,5,FALSE
2,3,Y12345,yellow,5,FALSE
2,4,Y(12)3(45),yellow,5,TRUE
2,5,Y00000,yellow,0,FALSE
2,6,Y12345,yellow,5,FALSE
2,7,Y00000,yellow,0,FALSE
2,8,Y12345,yellow,5,FALSE
2,9,Y(123)(45),yellow,5,TRUE
2,10,Y00000,yellow,0,FALSE
2,11,Y12345,yellow,5,FALSE
2,12,Y(123)(45),yellow,5,TRUE
2,13,Y00000,yellow,0,FALSE
2,14,Y00000,yellow,0,FALSE
2,15,Y00000,yellow,0,FALSE
2,16,Y00000,yellow,0,FALSE
5,1,Y00000,yellow,0,FALSE
5,2,Y00300,yellow,1,FALSE
5,3,Y12345,yellow,5,FALSE
5,4,P00000,pink,0,FALSE
5,5,Y12345,yellow,5,FALSE
5,6,P00000,pink,0,FALSE
5,7,Y00000,yellow,0,FALSE
5,8,P12045,pink,4,FALSE
5,9,P00345,pink,3,FALSE
5,1A,Y00300,yellow,1,FALSE
5,2A,Y12345,yellow,5,FALSE
5,3A,Y12345,yellow,5,FALSE
5,4A,Y12345,yellow,5,FALSE
5,5A,Y00300,yellow,1,FALSE
5,6A,Y12345,yellow,5,FALSE
7,1A,Y12345,yellow,5,FALSE
8,1,Y00345,yellow,3,FALSE
8,2,P00000,pink,0,FALSE
8,3,Y00000,yellow,0,FALSE
8,4,P00300,pink,1,FALSE
8,5,P00300,pink,1,FALSE
8,6,Y12345,yellow,5,FALSE
8,7,Y12345,yellow,5,FALSE
8,8,Y123(45),yellow,5,TRUE
8,1A,B00000,brown,0,FALSE
8,2A,B00300,brown,1,FALSE
8,3A,Y00300,yellow,1,FALSE
8,4A,P00300,pink,1,FALSE
9,1,Y00300,yellow,1,FALSE
9,2,Y12345,yellow,5,FALSE
9,3,Y12345,yellow,5,FALSE
9,4,Y12345,yellow,5,FALSE
9,5,Y00000,yellow,0,FALSE
9,6,P00000,pink,0,FALSE
9,1A,Y00000,yellow,0,FALSE
10,1A,Y00300,yellow,1,FALSE
10,2A,Y12345,yellow,5,FALSE
11,1,Y00300,yellow,1,FALSE
11,2,P12345,pink,5,FALSE
11,3,Y12345,yellow,5,FALSE
11,4,P00000,pink,0,FALSE
11,5,P00000,pink,0,FALSE
11,A,Y123(45),yellow,5,TRUE
11,1A,Y12345,yellow,5,FALSE
11,2A,Y00000,yellow,0,FALSE
11,3A,Y00300,yellow,1,FALSE
12,1,Y12345,yellow,5,FALSE
12,A,Y12345,yellow,5,FALSE
12,B,P00000,pink,0,FALSE
15,1,Y12345,yellow,5,FALSE
15,2,Y003(45),yellow,3,TRUE
15,1A,Y123(45),yellow,5,TRUE
16,1,Y12345,yellow,5,FALSE
16,2,P00000,pink,0,FALSE
16,3,P00000,pink,0,FALSE
16,4,P00000,pink,0,FALSE
16,5,Y123(45),yellow,5,TRUE
16,6,P00000,pink,0,FALSE
16,7,P(123)45,pink,5,TRUE
16,8,P12345,pink,5,FALSE
16,9,P00000,pink,0,FALSE
16,10,P00000,pink,0,FALSE
16,11,P00000,pink,0,FALSE
16,12,Y12345,yellow,5,FALSE
16,13,Y12345,yellow,5,FALSE
16,14,B00000,brown,0,FALSE
16,15,P00000,pink,0,FALSE
16,16,P00000,pink,0,FALSE
16,17,P00000,pink,0,FALSE
16,18,P00000,pink,0,FALSE
16,19,P00000,pink,0,FALSE
16,1A,Y(123)(45),yellow,5,TRUE
18,1,Y12345,yellow,5,FALSE
